  220 3.096135e-02
  221 3.045468e-02
  222 2.995648e-02
  223 2.946666e-02
  224 2.898458e-02
  225 2.851129e-02
  226 2.804559e-02
  227 2.758797e-02
  228 2.713781e-02
  229 2.669609e-02
  230 2.626167e-02
  231 2.583499e-02
  232 2.541596e-02
  233 2.500401e-02
  234 2.459955e-02
  235 2.420249e-02
  236 2.381226e-02
  237 2.342926e-02
  238 2.305341e-02
  239 2.268415e-02
  240 2.232185e-02
  241 2.196598e-02
  242 2.161692e-02
  243 2.127411e-02
  244 2.093793e-02
  245 2.060786e-02
  246 2.028380e-02
  247 1.996612e-02
  248 1.965472e-02
  249 1.934909e-02
  250 1.904917e-02
  251 1.875526e-02
  252 1.846690e-02
  253 1.818399e-02
  254 1.790686e-02
  255 1.763463e-02
  256 1.736841e-02
  257 1.710694e-02
  258 1.685092e-02
  259 1.659989e-02
  260 1.635377e-02
  261 1.611285e-02
  262 1.587669e-02
  263 1.564522e-02
  264 1.541836e-02
