# bin L_min L_max     L_av           PP      Error    Ahat
    1     8    40    28.07  1.32141e-07  1.141e-08   0.946
    2    41    84    63.53  1.34342e-07  5.818e-09   1.052
    3    85   129   106.23  1.00564e-07  4.078e-09   1.013
    4   130   174   150.44  6.94278e-08  3.615e-09   0.911
    5   175   219   195.14  5.53126e-08  3.549e-09   0.924
    6   220   264   240.27  4.56420e-08  3.871e-09   0.943
    7   265   309   285.80  4.38998e-08  4.082e-09   1.096
    8   310   354   331.42  3.71450e-08  3.925e-09   1.100
    9   355   400   377.28  2.49098e-08  3.910e-09   0.864
