# bin L_min L_max     L_av           PP      Error    Ahat
    1     8    40    28.03  9.31867e-08  3.253e-08   0.667
    2    41    84    63.32  1.20016e-07  1.821e-08   0.939
    3    85   129   105.84  9.32912e-08  1.499e-08   0.938
    4   130   174   149.85  6.72042e-08  1.437e-08   0.879
    5   175   219   194.33  5.11393e-08  1.535e-08   0.851
    6   220   264   239.33  5.71573e-08  1.748e-08   1.176
    7   265   309   284.96  3.58979e-08  2.255e-08   0.893
    8   310   354   330.90  1.02181e-08  2.107e-08   0.302
    9   355   400   377.01  9.56266e-09  2.360e-08   0.331
