# bin             PP 
    1  2.1680026e-09
    2  2.2042641e-09
    3  2.1277558e-09
    4  2.1556217e-09
    5  2.4505113e-09
    6  3.3648702e-09
    7  4.8185071e-09
    8  5.8771886e-09
    9  5.7838499e-09
